x,y,z
28.83556,66.41416,0
37.57484,64.98847,0
40.48794,28.61925,0
43.40103,26.85889,0
46.31413,24.75922,0
49.22722,23.43821,0
73.91425,56.54608,0
74.42991,53.73229,0
74.7771,50.91849,0
74.78049,48.1047,0
74.78049,42.47711,0
74.46321,36.84953,0
73.39859,59.35987,0
24.78819,1.07022,0
14.78819,81.07022,0
25.26253,70.61504,0
37.57484,64.98746,0
72.53198,62.17367,0
74.78294,45.29091,0
74.78049,45.29091,0
74.67601,39.66332,0
74.15559,34.03573,0
73.45752,31.22194,0
72.53198,28.40815,0
63.79269,21.36853,0
60.8796,20.84264,0
57.96651,20.82247,0
55.05341,21.22286,0
25.56822,25.59435,0
25.21396,22.78056,0
